name,code,Schedule Type,Instruction Method,Credit,Course Description,Section Details,Registration Restrictions,Section Attributes,Schedule and Location,Instructors,Course Quality,Instructor Quality,Work Required,Difficulty,Also_offered_as,Mutually_exclusive,Prerequisites,numeric_credit
Advanced Korean,KORN 5700,Lecture,In Class,1,"This course aims to develop an in-depth understanding of Korean culture and society through the analysis of spoken and written Korean discourse. Students will engage with key sociolinguistic concepts of politeness, hierarchy, solidarity, power, age, and gender, and enhance their advanced vocabulary and grammar. Students will also develop their abilities in conversation management, self-presentation, socialization, and sense of socio-cultural appropriateness, and gain a better understanding of how native speakers' cultural practices are reflected in language use and how interpersonal relationships are built and maintained through language.",Not available,Enrollment is limited to Graduate/Research level students.,Not available,TR 10:15am-11:44am (8/27 to 12/9),Hyesun Jang,,,,,,,K OR N 0600,[1.0]
Current Korean Media I,KORN 5870,Lecture,In Class,1,"Offered through the Penn Language Center. This course aims to develop a deeper understanding of the contemporary Korean society through critical analysis of language use and viewpoints expressed in various types of media including the internet, TV, films and newspapers. This course will provide students with a rich opportunity to relate what they have learned in previous Korean language courses to the larger context of Korean culture and society. The course is conducted entirely in Korean and utilizes both written and audiovisual materials to develop students' reading/listening comprehension and critical thinking. The course also involves in-depth class discussion and writing short compositions to enhance conversation and writing skills.",Not available,Not available,COL-COURSE-Last Language (AULL),TR 3:30pm-4:59pm (8/27 to 12/9),Hyobin Won,,,,,,K OR N 0870,K OR N 0600,[1.0]
Advanced Readings in Modern Korean I,KORN 6040,Lecture,In Class,1,"This course is designed for advanced level students. Based on literary pieces in the form of short stories, essays, and novels, students are to gain an in-depth, multi-faceted and critical understanding of Korean people, society, and culture. These objectives are achieved primarily through 1) close reading and discussion of original literary texts by 20th -century Korean writers; and 2) regular writing exercises. Some Korean films that are related to the topics of the reading text will be used.",Not available,Enrollment is limited to Graduate/Research level students.,"COL Advanced Language (AULA)
COL Instruction: Non-English (AUOT)
COL-COURSE-Last Language (AULL)
NU GloblHealthMin Lang (NUGL)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)",T 5:15pm-8:14pm (8/27 to 12/9),Siwon Lee,,,,,,K OR N 1040,K OR N 0700,[1.0]
Advanced Topics in Korean Language and Culture I,KORN 6070,Lecture,In Class,1,"This class aims to expand and deepen students’ understanding and knowledge related to various aspects of the Korean language and culture. Students will consolidate and further sophisticate their expertise in the Korean language and culture to achieve professional language proficiency while engaging in discussions, debates, mini-research, and presentations on a wide range of topics covering the Korean language, contemporary life, and culture. Special emphasis will be given to how the Korean language is structured, how cultural practices are reflected in the way language is used, and how interpersonal relationships are built and negotiated through the use of language. As such, the course is organized into the following two parts: (1) Analysis of the Korean language in various genres and media sources and (2) Examination of critical issues related to the Korean language and culture and development of one’s own stance on the given issues. Upon completion of the course, students will be able to reach the Advanced High Level (according to the ACTFL’s proficiency guidelines).",Not available,Not available,COL Advanced Language (AULA),MW 3:30pm-4:59pm (8/27 to 12/9),Hyesun Jang,,,,,,K OR N 1070,K OR N 0800,[1.0]
Sustainable Development and Culture in Latin America,LALS 0091,Seminar,In Class,1,"This interdisciplinary course exposes students to the three dimensions of sustainable development -environmental, economic, and social- through an examination of three products -peyote, coca, and coffee- that are crucial in shaping modern identity in areas of Latin America. The course integrates this analysis of sustainable development in relation to cultural sustainability and cultural practices associated with peyote, coca, and coffee and their rich, traditional heritage and place in literature, film, and the arts.","This course is a Penn Global Seminar, which includes atravel component. An application is required. For more information and to apply, visit:https://global.upenn.edu/pennabroad/pgs",Enrollment in this course is restricted. Request Permission to register.,"ANTH Cultural and Linguistics (AACL)
ANTH Environmental Anthropology (AAEA)
College FND Cross Cultural Analysis (AUCC)
ENVS Global Politics & International Rel Conc List (AESR)
ENVS International Environmental Issues Conc List (AESI)
ENVS Sustainability & Environmental Mngmnt Conc (AESW)
ENVS Sustainability & Environmental Mngmnt Minor (AESM)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
Penn Global Seminars (UNPG)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)",MW 1:45pm-3:14pm (8/27 to 12/9),Teresa Gimenez,3.2,3.4,2.3,1.7,"ANTH 0091,ENVS 0053,SPAN 0091",SPAN 3910,,[1.0]
Colonial Latin America,LALS 0400,Varies by section,In Class,Varies by section,"The colonial period (1492- 1800) saw huge population movements (many of them involuntary) within the Americas and across the Atlantic. As a result, Latin America was created from the entanglement of technologies, institutions, knowledge systems, and cosmologies from Indigenous, European, and African cultures. We will learn about colonial institutions such as slavery and encomienda. We will also explore the different strategies pursued by individuals and communities to build meaningful lives in the face of often dire social and environmental circumstances. Class readings are primary sources and the focus of discussions, papers, and exams will be their interpretation.",Not available,Not available,"AFRC History Course (AAFO)
AFRC Minor African American (AAFN)
AFRC Minor Caribbean or Latin American (AAFC)
College FND Cross Cultural Analysis (AUCC)
College-Sector - History & Tradition (AUHT)
GMST Minor- Medieval Studies History (AGMH)
GMST Outside of Europe (AGMO)
HIST Concentration in World History (AHCW)
HIST Latin America and the Caribbean (AHLA)
HIST Pre- (AH18)
Hunstman International Studies (UNIS)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
LALX History (ALHI)
LALX Regional Experience Prior to (ALRP)
NU Sector Global&Cultural Studies (NUGC)
NU Sector History&Traditions (NUHT)
PSCI Comparative Politics (APSC)
PSCI International Relations (APSI)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
Wharton UG Core Flex GenEd (WUFG)",Varies by section,Varies by section,2.4,2.4,2.3,2.2,"AFRC 0400,HIST 0400",,,
Race and Ethnic Relations,LALS 1060,Lecture,In Class,1,"The course will focus on race and ethnicity in the United States. We begin with a brief history of racial categorization and immigration to the U.S. The course continues by examining a number of topics including racial and ethnic identity, interracial and interethnic friendships and marriage, racial attitudes, mass media images, residential segregation, educational stratification, and labor market outcomes. The course will include discussions of African Americans, Whites, Hispanics, Asian Americans and multiracials.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC Minor African American (AAFN)
ASAM Minor Related Courses (AASR)
CRIM SocioPolitical (ACRS)
College FND Cultural Diversity in US (AUCD)
HSOC Race, Gender and Health (AHSN)
LALX Social Science (ALSS)
NU Sector Global&Cultural Studies (NUGC)
NU Sector Society&Soc Struct (NUSS)
PPE Distributive Justice (APPJ)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
PSCI Comparative Politics (APSC)
PSCI Minor International Development Minor (APID)
SEAS Social Science (EUSS)
SOCI Culture and Diversity (ASCD)
SOCI M Law Society (ASOL)
SOCI Structures of Opportunity and Inequality (ASOI)
URBS Comparative and Theoretical Dimensions (ARCT)
URBS Public Policy & Governance (ARPP)
University Scholar Social Issues (UNCS)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",TR 1:45pm-3:14pm (8/27 to 12/9),Not available,2.3,2.6,1.6,1.5,"AFRC 1060,ASAM 1510,SOCI 1060,URBS 1060",,,[1.0]
US Empire in the Twentieth Century,LALS 1191,Lecture,In Class,1,"This class examines the emergence of the U.S. as a world power since 1898, and considers both the international and domestic consequences of U.S. foreign relations. In one respect, the twentieth century was a strange time to become a global empire: it was the period when colonial systems centered in Europe, Russia, Japan, and Turkey collapsed, and new nations emerged throughout Africa and Asia. This class explores the changing strategies of military, economic, and political intervention that the US pursued as colonization lost legitimacy. Within that framework, the class invites students to think about four questions: How did the idea and practice of empire change over the twentieth century? How did the United States and people within the US relate to new visions of independence emerging in Africa, Asia, and Latin America? How did global interactions both inform and reflect racial ideology in the United States? Finally, how did anti-imperialist arguments and movements change over the twentieth century?",Not available,Not available,"HIST Concentration in Diplomatic History (AHCD)
HIST United States and Canada (AHUC)
INTR International History (AIRH)
INTR International Security/Foreign Policy Elect (AIRS)
LALX History (ALHI)
NU Sector History&Traditions (NUHT)
PPE Globalization (APPG)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
PSCI International Relations (APSI)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)",MW 10:15am-11:44am (8/27 to 12/9),Amy Offner,,,,,HIST 1191,,,[1.0]
Intro to Latinx Cultural Studies,LALS 1260,Lecture,In Class,1,"This course offers a broad introduction to the study of Latinx culture. We will examine literature, theater, visual art, and popular cultural forms, including murals, poster art, graffiti, guerrilla urban interventions, novels, poetry, short stories, and film. In each instance, we will study this work within its historical context and with close attention to the ways it illuminates class formation, racialization, and ideologies of gender and sexuality as they shape Latinx experience in the U.S. Topics addressed in the course will include immigration and border policy, revolutionary nationalism and its critique, anti-imperialist thought, Latinx feminisms, queer latinidades, ideology, identity formation, and social movements. While we will address key texts, historical events, and intellectual currents from the late 19th century and early 20th century, the course will focus primarily on literature and art from the 1960s to the present. All texts will be in English.","This course offers a broad introduction to the study of U.S. Latina/o/x history and culture. We will read poetry, short stories, novels, plays, and essays; watch films; and examine visual art from across a wide range of mediums and traditions, including poster art, performance art, murals, graffiti, conceptual art, and guerrilla urban interventions. In each instance, we will study this work within its historical context and with close attention to the ways it illuminates class formation, racialization, and ideologies of gender and sexuality as they shape Latino/a/xs’ experience. Topics addressed in the course will include: the history of U.S. imperialism in Latin America, transnational migration and the function of borders, revolutionary nationalisms, Latina feminisms, queer Latinx experience, ideology and racialization, identity formation, and the study of literature and art created within social movements. While we will address key texts, historical events, and intellectual currents from the late 19th century and early 20th century, the course will focus primarily on the period from the 1960s to the present. All texts will be in English.",Not available,"AFRC African Diaspora Studies (AAFD)
AFRC Minor African American (AAFN)
College FND Cultural Diversity in US (AUCD)
ENGL 20th 21st Century Literature (AE21)
ENGL 20th Century Literature (AE20)
ENGL Africana Literatures and Cultures (AEAC)
ENGL Difference and Diaspora (AEDD)
ENGL Theory and Poetics (AETP)
GSWS Feminist Studies (AGWF)
LALX Criticism (ALCR)
NU Sector Arts & Letters (NUAL)
NU Sector Global&Cultural Studies (NUGC)
PSCI Comparative Politics (APSC)
SEAS Humanities (EUHS)
WH UG CCP US (WUCU)
WH UG Humanities (WUHM)",MW 1:45pm-3:14pm (8/27 to 12/9),Jennifer Sternad Ponce De Leon,3.4,3.9,2.2,2.2,"ARTH 2679,COML 1260,ENGL 1260,GSWS 1260",,,[1.0]
Radical Arts in the Americas,LALS 1261,Lecture,In Class,1,"This course explores the complex and fruitful relationship between literature and the visual arts, including painting, sculpture, installations, and performance art. See the English Department's website at www.english.upenn.edu for a description of the current offerings.","This course examines intersections of artistic production and left politics in the 20th and 21st centuries. It examines art from across a wide array of media: street art, film, theater, poetry, performance art, fiction, graphic arts, digital media, and urban interventions. We will study artistic movements and artists from across the Americas, including revolutionary Latin American theater, film, and literature; the art of Black and Chicano Liberation in the U.S.; street performance and protest produced in the context of dictatorship; anticolonial performance art and alternative reality gaming; and activist art, political theater, and cinema from the 21st century. Through its focus on the relationship between art and politics, this course also introduces students to foundational concepts related to the relationship between culture and power more broadly.",Not available,"ARTH Modern (AHAM)
CIMS Non-American Cinema (ACMN)
College FND Cultural Diversity in US (AUCD)
ENGL 20th 21st Century Literature (AE21)
ENGL 20th Century Literature (AE20)
ENGL Difference and Diaspora (AEDD)
ENGL Gender and Sexuality (AEGS)
ENGL Theory and Poetics (AETP)
LALX Criticism (ALCR)
NU Sector Arts & Letters (NUAL)
NU Sector Global&Cultural Studies (NUGC)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)",MW 5:15pm-6:44pm (8/27 to 12/9),Jennifer Sternad Ponce De Leon,3.2,3.4,2.5,2.3,,,,[1.0]
Portuguese for the Professions,LALS 1320,Seminar,In Class,1,"Portuguese for the Professions is designed for advanced-level students to develop their ability to use a wide technical vocabulary. The course will cover an array of topics in the areas of Economy, Politics, Science, Technology, Law and others as they pertain to the societies and cultures of the Lusophone countries, with particular emphasis placed on Brazil. Through readings, movies, discussions, essays and presentations, students will enhance their ability to write about and discuss these topics while employing the appropriate technical vocabulary.",Not available,Not available,"COL Instruction: Non-English (AUOT)
LALX Related Elective (ALMR)
NU GloblHealthMin Lang (NUGL)
NU Sector Global&Cultural Studies (NUGC)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG Humanities (WUHM)",TR 3:30pm-4:59pm (8/27 to 12/9),Carlos Bento Dos Santos Pio,3.8,3.9,0.9,1.5,PRTG 1320,,PRTG 1000,[1.0]
"History of Brazil: Slavery, Inequality, Development",LALS 1475,Lecture,In Class,1,"In the past decade, Brazil has emerged a leading global power. As the world's fifth-largest country, by size and population, and the ninth-largest by GDP, Brazil exerts tremendous influence on international politics and the global economy, seen in its position as an emerging BRIC nation and a regional heavyweight in South America. Brazil is often in the news for its strides in social welfare, leading investments in the Global South, as host of the World Cup and Olympics, and, most recently, for its political instability. It is also a nation of deep contradictions, in which myth of racial democracy -- the longstanding creed that Brazilian society has escaped racial discrimination -- functions alongside pervasive social inequality, state violence, political corruption, and an unforgiving penal system. This course examines six centuries of Brazilian history. It highlights the interplay between global events -- colonialism, slavery and emancipation, capitalism, and democratization -- and the local geographies, popular cultures, and social movements that have shaped this multi-ethnic and expansive nation. In particular, the readings will highlight Brazil's place in Latin America and the Lusophone World, as well as the ways in which Brazil stands as a counterpoint to the United States, especially in terms of the legacy of slavery and race relation. In this lecture, we will also follow the current political and economic crises unfolding in Brazil, at a moment when it has become all the more important to evaluate just how South America's largest nation has shaped and been shaped by global events.",Not available,Not available,"College FND Cross Cultural Analysis (AUCC)
HIST Concentration in Economic History (AHCC)
HIST Concentration in World History (AHCW)
HIST Latin America and the Caribbean (AHLA)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
LALX History (ALHI)
NU GloblHealthMin Elec (NUGH)
NU Sector Global&Cultural Studies (NUGC)
NU Sector History&Traditions (NUHT)
PPE Globalization (APPG)
PSCI Comparative Politics (APSC)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)",MW 1:45pm-3:14pm (8/27 to 12/9),Melissa Teixeira,3.3,3.4,1.5,1.3,"AFRC 1475,HIST 1475",,,[1.0]
"Indians, Pirates, Rebels and Runaways: Unofficial Histories of the Colonial Caribbean",LALS 2401,Seminar,In Class,1,"This seminar considers the early history of the colonial Caribbean, not from the perspective of colonizing powers but rather from “below.” Beginning with European-indigenous contact in the fifteenth century, and ending with the massive slave revolt that became the Haitian Revolution (1791-1804), we will focus on the different ways in which indigenous, African, European and creole men and women experienced European colonization in the Caribbean, as agents, victims and resistors of imperial projects. Each week or so, we will examine a different social group and its treatment by historians, as well as anthropologists, archaeologists, sociologists, and novelists. Along the way, we will pay special attention to the question of sources: how can we recover the perspectives of people who rarely left their own accounts? How can we use documents and material objects—many of which were produced by colonial officials and elites—to access the experiences of the indigenous, the enslaved, and the poor? We will have some help approaching these questions from the knowledgeable staff at the Penn Museum, the Kislak Center for Special Collections, Rare Books and Manuscripts, and the Van Pelt Library.",Not available,Not available,"HIST Concentration in World History (AHCW)
HIST Latin America and the Caribbean (AHLA)
HIST Pre- (AH18)
LALX History (ALHI)
LALX Regional Experience Prior to (ALRP)
NU Sector History&Traditions (NUHT)",M 1:45pm-4:44pm (8/27 to 12/9),Yvonne Fabella,3.9,3.9,2.9,2.5,"AFRC 2401,GSWS 2401,HIST 2401",,,[1.0]
"Exploring the Ancient Maya: Image, Text, and Artefact",LALS 2866,Seminar,In Class,1,"Few topics in ancient studies are experiencing such profound and revelatory change as that of the Ancient Maya—a complex society that covered what is today southeastern Mexico, Guatemala, Belize, and parts of Honduras and El Salvador. The decipherment of Maya script and advances in archaeological techniques, including aerial LiDAR scanning and isotopic analysis, are combining with art historical and literary sources to transform our understanding of a culture that ranks among the most famous, but enigmatic, on this continent. The ability to read Maya inscriptions has created the first historical archaeology for the ancient Americas, giving access to an Indigenous voice that has been silent for more than a millennium—with implications not only for scholarship but for the efforts of descendent peoples in asserting a modern Maya identity with existing Latin American states. This course will be a broad-based, contemporary look at archaeological practice as it operates through multiple disciplines, all in pursuit of the single goal of illuminating a vibrant and living past.",Not available,Not available,"ANTH Archaeology (AAAR)
ARTH Ancient (AHAA)
ARTH Elective Major/Minor (AHAE)",W 1:45pm-4:44pm (8/27 to 12/9),Simon Martin,,,,,ANTH 2866,,,[1.0]
Diplomacy in the Americas - The Penn Model OAS Program (SNF Paideia Program Course),LALS 3020,Seminar,In Class,1,"Diplomacy in the Americas is an academically based community-service course where students explore what it means to educate youth for global civic and political engagement. Students apply theoretical and pedagogical principles in curriculum design, classroom teaching, and collaborative learning with public high school students on the topics of Latin American politics and the role of the Organization of American States (OAS). Analyzing and strategizing like a diplomat and guided by theories of democracy and the other three OAS pillars of economic development, security, and human rights, students will collectively examine and propose solutions to the most pressing issues in the Americas. This course is also an SNF Paideia Program Course.",Not available,Not available,"Academically Based Community Service Courses (UNAS)
College FND Cross Cultural Analysis (AUCC)
Hunstman International Studies (UNIS)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
LALX Related Elective (ALMR)
LALX Social Science (ALSS)
NU Sector Global&Cultural Studies (NUGC)
PSCI International Relations (APSI)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)","TR 4:30pm-5:59pm (8/27 to 12/9)
TBA (8/27 to 12/9)",Catherine Bartch,2.8,2.9,2.3,1.9,PSCI 2420,,,[1.0]
¡Huelga! The Farmworker Movement in the United States,LALS 3158,Seminar,In Class,1,"This intensive research seminar invites students to explore the history of farmworkers in the United States during the twentieth century. Research will primarily but not necessarily exclusively focus on the west coast, a region in which many archival sources have been digitized. Students may explore a wide variety of topics, including but not limited to: farmworker unions; the relationship between farmworker mobilizations and other movements in the US and abroad; the experiences of workers from the Philippines and Latin America and the role of US imperial and immigration policies in the lives of farmworkers; farmworkers' confrontations with and participation in systems of racism; the Great Depression in rural communities; the history of gender and family in farmworker communities; the history of environment and health; struggles over citizenship and social rights; counter-mobilizations of growers and the right; religion in farmworker communities; legislative and legal strategies to obtain rights denied agricultural workers in federal law; artistic, musical, and cultural production; or the relationship between consumers and the workers who produced their food.",Not available,Not available,"HIST Concentration in American History (AHCA)
HIST Concentration in Economic History (AHCC)
HIST United States and Canada (AHUC)
WH UG CCP Non-US (WUCN)",R 3:30pm-6:29pm (8/27 to 12/9),Amy Offner,4.0,4.0,2.8,2.8,HIST 3158,,,[1.0]
Writing Class,LALS 3655,Seminar,In Class,1,"Gayatri Spivak has stated, “Of race, class and gender, class is the least abstract.” While materially true, in literary, theatrical, perofmative and cinematic representational schemes, class is often occluded, made permeable in opposition to longstanding economic realities or simply wished away in order to focus on plot and pleasantry. Within this course, students will instead focus their writing on class, whether that be on the middle classes, the bourgeoisie, ruling class, or the world’s majority: the working class. Work on class can take the form of satire or solidarity; expose conflict and antagonism between and within a given class; historicize individual relationships within the history of property relations; focus on finances, wealth, or poverty; portray class ascent or descent. Writing may be in any genre: poetry, fiction, memoir, political essay, film script, play or performance. We will read and view work by artists such as Tillie Olsen, Kae Tempest, Leslie Feinberg, Zadie Smith, Cherrie Moraga, Alma Luz Villanueva, Helena Maria Viramontes, Gary Indiana, Gloria Naylor, Paul Beatty, Robert Altman, Rainer Werner Fassbinder, the Dardenne Brothers, Ken Loach, Lucrecia Martel, Bertolt Brecht, Clifford Odets, Adrienne Kennedy, Studs Terkel, Jean Toomer, Valerie Solanas, and the Chicano, Black and Nuyorican Theater Movements. We will develop work in/on class via writing exercises, attend readings, plays and performances both on and off campus. Students will do a midterm presentation of their work in progress. Final projects can be a short story, essay, a suite of poems, a play or film script, a short video, a collection of vignettes or a mélange of these genres. Let the writing of class begin!","Gayatri Spivak has stated, “Of race, class and gender, class is the least abstract.” While materially true, in literary, theatrical, perofmative and cinematic representational schemes, class is often occluded, made permeable in opposition to longstanding economic realities or simply wished away in order to focus on plot and pleasantry. Within this course, students will instead focus their writing on class, whether that be on the middle classes, the bourgeoisie, ruling class, or the world’s majority: the working class. Work on class can take the form of satire or solidarity; expose conflict and antagonism between and within a given class; historicize individual relationships within the history of property relations; focus on finances, wealth, or poverty; portray class ascent or descent. Writing may be in any genre: poetry, fiction, memoir, political essay, film script, play or performance. We will read and view work by artists such as Tillie Olsen, Kae Tempest, Leslie Feinberg, Zadie Smith, Cherrie Moraga, Alma Luz Villanueva, Helena Maria Viramontes, Gary Indiana, Gloria Naylor, Paul Beatty, Robert Altman, Rainer Werner Fassbinder, the Dardenne Brothers, Ken Loach, Lucrecia Martel, Bertolt Brecht, Clifford Odets, Adrienne Kennedy, Studs Terkel, Jean Toomer, Valerie Solanas, and the Chicano, Black and Nuyorican Theater Movements. We will develop work in/on class via writing exercises, attend readings, plays and performances both on and off campus. Students will do a midterm presentation of their work in progress. Final projects can be a short story, essay, a suite of poems, a play or film script, a short video, a collection of vignettes or a mélange of these genres. Let the writing of class begin!",Not available,"GSWS LGBTQ Studies (AGWL)
GSWS Major Related (AGGR)
GSWS Theory (AGWT)
THAR Minor Academic Course (ATNA)",W 3:30pm-6:29pm (8/27 to 12/9),Ricardo Bracho,,,,,"ENGL 3655,GSWS 3655,THAR 3655",,,[1.0]
Oral History,LALS 3706,Seminar,In Class,1,"From wax cylinders to reel-to-reel to digital video, recording technologies expanded the historical profession dramatically during the twentieth century. We will read some classics, such as Barbara Myerhoff’s Number Our Days and Alessandro Portelli’s Death of Luigi Trastulli, as well as scholarly pieces aimed at working historians and very new work, such as Dylan Penningroth’s Before the Movement: The Hidden History of Black Civil Rights. We will also explore the interface between documentary filmmaking, pod-casts, and more traditional Oral History forms. However, this course centers on methodology—students will learn about ‘best practices’ in the field and will work toward creating an interview record that can be housed in an archive and accessed by other researchers even as interviewees and their families retain intellectual property rights.",Not available,Not available,"College FND Cross Cultural Analysis (AUCC)
NU Sector Global&Cultural Studies (NUGC)
NU Sector History&Traditions (NUHT)",M 3:30pm-6:29pm (8/27 to 12/9),Ann Farnsworth,,,,,HIST 3706,,,[1.0]
Studies in Modern and Contemporary Latin American and Latinx Literature,LALS 3730,Seminar,In Class,1,"Studies in Modern and Contemporary Latin American and Latinx Literature is an upper-division seminar taking a literary-studies approach to Latin American cultural production of the 19-21st centuries. Traditions covered may include Spanish American, Brazilian, and U.S. Latinx literature. Course content may vary. Please see the department website for current course offerings: https://www.sas.upenn.edu/hispanic-portuguese-studies/undergraduate/hispanic-studies",Not available,Not available,"COL Instruction: Non-English (AUOT)
College FND Cross Cultural Analysis (AUCC)
LALX Criticism (ALCR)
NU GloblHealthMin Lang (NUGL)
NU Sector Arts & Letters (NUAL)
NU Sector Global&Cultural Studies (NUGC)
SEAS Humanities (EUHS)
Wharton UG Core Flex GenEd (WUFG)",TR 12pm-1:29pm (8/27 to 12/9),Ashley Brock,2.9,2.9,2.1,2.0,SPAN 3730,,SPAN 1800 OR SPAN 1900,[1.0]
Rights of/for Nature: Critical Engagements from Latin America,LALS 3745,Seminar,In Class,1,"This course delves into various approximations of the Rights of Nature movement. It specifically examines a range of legal actions that have arisen to safeguard life and emphasize human relationships with non-human entities. The course is particularly dedicated to dissecting a range of legal strategies that have come into existence to ensure the preservation of life forms beyond just humans, forging a profound connection between humanity and the diverse entities that constitute the natural world. The course will concentrate on Latin American cases as a burgeoning global movement, although the philosophical and theoretical exploration extends far beyond this region. Some topics we will discuss in class are: Earth Law and the Rights of Nature; Bringing Nature to Court and the Law; and Animal Rights. For instance, are animals part of the Rights of Nature movement?  By analyzing these legal actions, students will understand how legal systems can be leveraged as powerful environmental conservation and advocacy tools. Students will also learn the importance of bridging the legal practice with how the social sciences approach these questions.",Not available,Not available,"ANTH Environmental Anthropology (AAEA)
College FND Cross Cultural Analysis (AUCC)
ENVS Environmental Humanities (AESH)
ENVS Environmental Social Sciences (AESS)
ENVS Global Politics & International Rel Conc List (AESR)
INTR International Relations Elective (AIRE)
LALX Related Elective (ALMR)
LALX Social Science (ALSS)",R 3:30pm-6:29pm (8/27 to 12/9),Carolina Angel Botero,,,,,ANTH 3745,LALS 5745,,[1.0]
Studies in Modern and Contemporary Latin American and Latinx Culture,LALS 3800,Seminar,In Class,1,Studies in Modern and Contemporary Latin American and Latinx Culture is an upper-division seminars focusing on significant issues or historical moments in Latin American and Latinx culture. Course content may vary. Please see specific Section Details.,Not available,Varies by section,"COL Instruction: Non-English (AUOT)
College FND Cross Cultural Analysis (AUCC)
HSOC Regional (AHSR)
LALX Criticism (ALCR)
NU GloblHealthMin Lang (NUGL)
NU Sector Global&Cultural Studies (NUGC)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG Humanities (WUHM)",Varies by section,Varies by section,2.9,3.4,1.2,1.3,SPAN 3800,,SPAN 1800 OR SPAN 1900,[1.0]
"Latin American Collections: Art, Literature, and Cultural Practices in Times of Information Overload",LALS 3806,Seminar,In Class,1,"This course explores the phenomenon of Latin American dictatorship through literature, film, graphic novels, and visual and public art, asking how these different media and genres depict and respond to state violence, censorship, and trauma.",Not available,Not available,"COL Instruction: Non-English (AUOT)
College FND Cross Cultural Analysis (AUCC)
LALX Criticism (ALCR)
NU Sector Arts & Letters (NUAL)
NU Sector Global&Cultural Studies (NUGC)",TR 1:45pm-3:14pm (8/27 to 12/9),Ashley Brock,3.7,4.0,1.3,,"CIMS 3806,SPAN 3806",,SPAN 1800 OR SPAN 1900,[1.0]
Sustainable Development And Culture in Latin America,LALS 3910,Seminar,In Class,1,"This interdisciplinary course exposes students to the three dimensions of sustainable development -environmental, economic, and social- through an examination of three products -peyote, coca, and coffee- that are crucial in shaping modern identity in areas of Latin America. The course integrates this analysis of sustainable development in relation to cultural sustainability and cultural practices associated with peyote, coca, and coffee and their rich, traditional heritage and place in literature, film, and the arts. This is an upper level seminar open to majors and minors of Spanish and those who have completed Pre-requiste SPAN 1800 or SPAN 1900 or permission of the Undergraduate Chair.","This course is a Penn Global Seminar, which includes a travel component. An application is required. For more information and to apply, visit:https://global.upenn.edu/pennabroad/pgs",Enrollment in this course is restricted. Request Permission to register.,"COL Instruction: Non-English (AUOT)
College FND Cross Cultural Analysis (AUCC)
ENVS Global Politics & International Rel Conc List (AESR)
ENVS International Environmental Issues Conc List (AESI)
LALX Criticism (ALCR)
NU GloblHealthMin Lang (NUGL)
NU Sector Global&Cultural Studies (NUGC)
Penn Global Seminars (UNPG)
SEAS Humanities (EUHS)",MW 10:15am-11:44am (8/27 to 12/9),Teresa Gimenez,2.7,2.7,2.0,,"ENVS 3053,SPAN 3910",SPAN 0091,SPAN 1800 OR SPAN 1900,[1.0]
Latinx Communities and the Role of CBO's in Social Change,LALS 4240,Seminar,In Class,1,"The purpose of this course to create a Latino Studies/Service Learning ABCS course that cultivates dialogue and knowledge about the social, political, cultural and historical complexities of the Latinx experience in the United States (Philadelphia in particular) and the roles Latinx CBO's play in meeting the needs of Latinx communities and in impacting social change.",Not available,Not available,"Academically Based Community Service Courses (UNAS)
College FND Cultural Diversity in US (AUCD)
LALX Latinx Diaspora (ALDI)
LALX Related Elective (ALMR)
LALX Social Science (ALSS)
NU Sector Global&Cultural Studies (NUGC)
NU Sector Society&Soc Struct (NUSS)
PSCI American Politics (APSA)
SEAS Humanities (EUHS)
SOCI Cities, Markets and Global Economy (ASCM)
SOCI Structures of Opportunity and Inequality (ASOI)
WH UG CCP US (WUCU)
Wharton UG Core Flex GenEd (WUFG)",W 5:15pm-8:14pm (8/27 to 12/9),Johnny Irizarry,3.1,3.5,1.5,1.2,SOCI 2931,,,[1.0]
